file,time_ns,type,addr,expected,got,sv_file,line_no,message
sim1.log,900,DATA_MISMATCH,0x0030,0xCAFE,0x0000,,,EXP=0xCAFE GOT=0x0000
sim1.log,1200,DATA_MISMATCH,0x0040,0x1234,0xFFFF,,,EXP=0x1234 GOT=0xFFFF
sim1.log,1800,DATA_MISMATCH,0x0060,0x5678,0x0000,,,EXP=0x5678 GOT=0x0000
sim1.log,1900,ASSERTION,,,,axi_master.sv,142,AWREADY timeout exceeded 16 cycles
sim1.log,2200,DATA_MISMATCH,0x0070,0x9999,0x8888,,,EXP=0x9999 GOT=0x8888
sim1.log,2600,ASSERTION,,,,axi_slave.sv,88,RVALID asserted without ARVALID
sim3.log,900,ASSERTION,,,,axi_master.sv,201,Reset held longer than max allowed cycles
sim4.log,600,DATA_MISMATCH,0x2000,0xBBBB,0xCCCC,,,EXP=0xBBBB GOT=0xCCCC
sim4.log,700,DATA_MISMATCH,0x3000,0xDDDD,0x0000,,,EXP=0xDDDD GOT=0x0000
sim4.log,900,ASSERTION,,,,axi_slave.sv,310,BVALID timeout after WLAST
sim4.log,1000,DATA_MISMATCH,0x4000,0x1234,0xDEAD,,,EXP=0x1234 GOT=0xDEAD
sim5.log,300,DATA_MISMATCH,0x0020,0xCAFEBABE,0x00000000,,,EXP=0xCAFEBABE GOT=0x00000000
sim5.log,400,DATA_MISMATCH,0x0030,0x12345678,0xDEADDEAD,,,EXP=0x12345678 GOT=0xDEADDEAD
sim5.log,500,ASSERTION,,,,axi_master.sv,142,AWREADY timeout exceeded 16 cycles
sim5.log,600,DATA_MISMATCH,0x0040,0xAAAABBBB,0xCCCCDDDD,,,EXP=0xAAAABBBB GOT=0xCCCCDDDD
sim5.log,700,ASSERTION,,,,axi_slave.sv,88,RVALID asserted without ARVALID
sim6.log,400,DATA_MISMATCH,0x2000,0x22222222,0x00000000,,,EXP=0x22222222 GOT=0x00000000
sim6.log,500,ASSERTION,,,,axi_master.sv,201,Reset held longer than max allowed cycles
sim6.log,900,DATA_MISMATCH,0x3000,0x33333333,0xFFFFFFFF,,,EXP=0x33333333 GOT=0xFFFFFFFF
