=============================================
  4-bit Adder Self-Checking Testbench
=============================================

--- Directed Tests ---
UVM_INFO: [PASS] zero_add | a=0 b=0 cin=0 | sum=0 cout=0 ovflow=0
UVM_INFO: [PASS] basic_add | a=3 b=4 cin=0 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] cin_only | a=0 b=0 cin=1 | sum=1 cout=0 ovflow=0
UVM_INFO: [PASS] max_no_cin | a=f b=f cin=0 | sum=e cout=1 ovflow=0
UVM_INFO: [PASS] max_with_cin | a=f b=f cin=1 | sum=f cout=1 ovflow=0
UVM_INFO: [PASS] signed_ovflow_pos | a=7 b=1 cin=0 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] signed_ovflow_neg | a=8 b=8 cin=0 | sum=0 cout=1 ovflow=1
UVM_INFO: [PASS] no_ovflow_mixed | a=f b=1 cin=0 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] boundary_msb | a=8 b=7 cin=0 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] cin_at_max | a=f b=0 cin=1 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] identical_ops | a=5 b=5 cin=0 | sum=a cout=0 ovflow=1

--- Exhaustive (all 512 combinations) ---
UVM_INFO: [PASS] exhaustive_a0_b0_c0 | a=0 b=0 cin=0 | sum=0 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b0_c1 | a=0 b=0 cin=1 | sum=1 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b1_c0 | a=0 b=1 cin=0 | sum=1 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b1_c1 | a=0 b=1 cin=1 | sum=2 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b2_c0 | a=0 b=2 cin=0 | sum=2 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b2_c1 | a=0 b=2 cin=1 | sum=3 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b3_c0 | a=0 b=3 cin=0 | sum=3 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b3_c1 | a=0 b=3 cin=1 | sum=4 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b4_c0 | a=0 b=4 cin=0 | sum=4 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b4_c1 | a=0 b=4 cin=1 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b5_c0 | a=0 b=5 cin=0 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b5_c1 | a=0 b=5 cin=1 | sum=6 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a0_b6_c0 | a=0 b=6 cin=0 | sum=6 cout=0 ovflow=0
