=========================================
  Random Shift Test (200 iterations)
=========================================
UVM_INFO: [PASS] random_0 | data_out=0 ref=0
UVM_INFO: [PASS] random_1 | data_out=8 ref=8
UVM_INFO: [PASS] random_2 | data_out=f ref=f
UVM_INFO: [PASS] random_3 | data_out=3 ref=3
UVM_INFO: [PASS] random_4 | data_out=3 ref=3
UVM_INFO: [PASS] random_5 | data_out=3 ref=3
UVM_INFO: [PASS] random_6 | data_out=d ref=d
UVM_INFO: [PASS] random_7 | data_out=d ref=d
UVM_INFO: [PASS] random_8 | data_out=a ref=a
UVM_INFO: [PASS] random_9 | data_out=a ref=a
UVM_INFO: [PASS] random_10 | data_out=d ref=d
UVM_INFO: [PASS] random_11 | data_out=d ref=d
UVM_INFO: [PASS] random_12 | data_out=d ref=d
UVM_INFO: [PASS] random_13 | data_out=b ref=b
UVM_INFO: [PASS] random_14 | data_out=c ref=c
UVM_INFO: [PASS] random_15 | data_out=6 ref=6
UVM_INFO: [PASS] random_16 | data_out=6 ref=6
UVM_INFO: [PASS] random_17 | data_out=6 ref=6
UVM_INFO: [PASS] random_18 | data_out=6 ref=6
UVM_INFO: [PASS] random_19 | data_out=3 ref=3
UVM_INFO: [PASS] random_20 | data_out=a ref=a
UVM_INFO: [PASS] random_21 | data_out=1 ref=1
UVM_INFO: [PASS] random_22 | data_out=2 ref=2
UVM_INFO: [PASS] random_23 | data_out=1 ref=1
UVM_INFO: [PASS] random_24 | data_out=2 ref=2
UVM_INFO: [PASS] random_25 | data_out=2 ref=2
UVM_INFO: [PASS] random_26 | data_out=9 ref=9
UVM_INFO: [PASS] random_27 | data_out=9 ref=9
UVM_INFO: [PASS] random_28 | data_out=3 ref=3
UVM_INFO: [PASS] random_29 | data_out=2 ref=2
UVM_INFO: [PASS] random_30 | data_out=d ref=d
UVM_INFO: [PASS] random_31 | data_out=b ref=b
UVM_INFO: [PASS] random_32 | data_out=b ref=b
UVM_INFO: [PASS] random_33 | data_out=b ref=b
UVM_INFO: [PASS] random_34 | data_out=b ref=b
UVM_INFO: [PASS] random_35 | data_out=f ref=f
UVM_INFO: [PASS] random_36 | data_out=c ref=c
UVM_INFO: [PASS] random_37 | data_out=e ref=e
UVM_INFO: [PASS] random_38 | data_out=f ref=f
UVM_INFO: [PASS] random_39 | data_out=5 ref=5
UVM_INFO: [PASS] random_40 | data_out=b ref=b
UVM_INFO: [PASS] random_41 | data_out=3 ref=3
UVM_INFO: [PASS] random_42 | data_out=3 ref=3
UVM_INFO: [PASS] random_43 | data_out=3 ref=3
UVM_INFO: [PASS] random_44 | data_out=7 ref=7
UVM_INFO: [PASS] random_45 | data_out=6 ref=6
UVM_INFO: [PASS] random_46 | data_out=c ref=c
UVM_INFO: [PASS] random_47 | data_out=7 ref=7
UVM_INFO: [PASS] random_48 | data_out=f ref=f
UVM_INFO: [PASS] random_49 | data_out=f ref=f
UVM_INFO: [PASS] random_50 | data_out=f ref=f
UVM_INFO: [PASS] random_51 | data_out=c ref=c
UVM_INFO: [PASS] random_52 | data_out=9 ref=9
UVM_INFO: [PASS] random_53 | data_out=4 ref=4
UVM_INFO: [PASS] random_54 | data_out=2 ref=2
UVM_INFO: [PASS] random_55 | data_out=6 ref=6
UVM_INFO: [PASS] random_56 | data_out=c ref=c
UVM_INFO: [PASS] random_57 | data_out=d ref=d
UVM_INFO: [PASS] random_58 | data_out=d ref=d
UVM_INFO: [PASS] random_59 | data_out=7 ref=7
